,Date,day_of_the_week,positive_percent_pre_market,positive_percent_55_135,positive_percent_55_95,positive_percent_95_135,positive_percent_after_market,positive_percent_yesterday_market,positive_percent_the_day_before_yesterday,Prev Open,Prev Close,Prev High,Prev Low,Prev HLPCT,Prev Volume,Prev Change Percent,Prev Trade Value,Prev VWAP,percentage_change
0,2022-05-31,2,-0.7245633767933243,-0.7004376138226246,-0.6466271649250525,-0.7213180575266417,-0.2498797078052457,-0.2739518796398789,-0.005063301956546762,406.1556,413.474,413.5935,405.9465,0.01883745764528082,84653856,0.018018710070721658,34898718400,410.766,0.0025632964965107046
1,2022-05-27,5,-0.06828590786613153,-0.5443015529623801,-1.0653866410397894,-0.33260375984329255,-0.40097071852032506,0.01712230986637563,-0.20015879373610201,396.9553,403.5668,405.2893,396.7363,0.021558400378286526,81933455,0.016655527713069905,33104555200,402.7934,0.011277273842014175
2,2022-05-26,4,0.041606000832463866,-0.08732818358185654,-0.14732471475685843,-0.06733312006858708,-0.26393289224011757,-0.26847218980176085,-0.2642947273511167,390.6227,395.6609,397.732,390.2045,0.01929116655497318,91225026,0.01289786794264649,36106475400,394.1357,0.014422232812945397
3,2022-05-25,3,-0.6331837157923881,-0.230404575551257,-0.35821222325761876,-0.17958557697507987,0.4442511331433209,-0.362173816082644,-0.42868403472492234,390.8716,392.1959,393.4505,385.2957,0.021165042848907904,91251910,0.003388069125513324,35712086900,389.3216,0.00721349918350645
4,2022-05-24,2,-0.4686800023152273,-0.7585910888123291,-0.9727320427791069,-0.647605160113029,-0.7407332506645727,-0.2281025544196876,0.2952292780871638,391.1404,395.2128,396.0194,388.701,0.018827839393261134,75701431,0.010411606676272807,29891187800,393.375,-0.005846240066134584
5,2022-05-23,1,-0.04216081082427798,0.41046511852487017,0.11020314013361425,0.5596157879354227,0.5167957907524945,0.20633643299782858,0.07336622406680203,391.5586,387.9542,395.3224,378.9033,0.04333321984791374,131189558,-0.009205263273492137,50827535700,384.6333,0.009446693657741189
6,2022-05-20,5,0.19313247289817034,-0.02539819060561046,-0.04348511193973878,-0.01785761740000646,-0.2635232369750453,-0.131672746943943,-0.7386909940196698,386.9485,387.7849,392.4448,385.445,0.01816030821517984,98293185,0.0021615279552704538,38378127200,388.4754,-0.017927527017482743
7,2022-05-19,4,-0.6592456288842639,-0.4225749356746246,-0.8413276934006998,-0.2859914549738734,-0.7072816914948501,-0.861769892995738,-0.21207233595734956,401.7645,390.1746,402.0633,388.8702,0.033926744708131444,117291039,-0.02884749648114754,46424435000,393.1064,0.008582973027872266
8,2022-05-18,3,-1.1374322805176917,-0.2710979444362456,-0.39204208777602373,-0.23314919343153087,0.21373775302733347,-0.07105490025002537,-0.054194650388001524,404.7815,406.5638,406.8127,400.8509,0.014872861704938126,82867486,0.004403116249136931,33598123200,404.237,-0.017348203220547694
9,2022-05-17,2,0.31237468504215243,0.0,0.18759861389479834,-0.08529758051189507,-0.3579985708692407,-0.11276757054431497,-0.16840608873198,398.2597,398.3692,402.2325,395.8899,0.01602112102379981,78415421,0.000274946222276491,31638530800,398.6918,-0.00246051271907377
10,2022-05-16,1,-0.40319495957362517,-0.6071567327044228,-0.5971325273203567,-0.6084404830877825,0.763862705358343,0.13353139262452257,0.10060469912129895,395.0038,399.9922,401.4459,393.9085,0.01913490061778304,104019586,0.012628739267824797,41616459500,398.4072,0.003650273768663231
