,Date,day_of_the_week,positive_percent_pre_market,positive_percent_55_135,positive_percent_55_95,positive_percent_95_135,positive_percent_after_market,positive_percent_yesterday_market,positive_percent_the_day_before_yesterday,Prev Open,Prev Close,Prev High,Prev Low,Prev HLPCT,Prev Volume,Prev Change Percent,Prev Trade Value,Prev VWAP,percentage_change
0,2022-03-07,1,-0.11552132701421801,-0.13057471264367815,-0.1342062193126023,-0.12915601023017903,-0.1262482168330956,-0.1016949152542373,-0.12381363244176014,431.75,432.17,433.37,427.88,0.012830700196316746,113973677,0.0009727851766068695,49115793000,430.4263,-0.017101147027916788
1,2022-03-04,5,-0.17481203007518797,-0.13737297704177645,-0.14897260273972604,-0.13410516160154365,-0.1407359586830213,-0.1127433628318584,-0.09153293918918919,440.47,435.71,441.11,433.8,0.016851083448593828,104071597,-0.010806638363566299,45503370900,436.7508,-0.005744730136601862
2,2022-03-03,4,-0.0935720097640358,-0.10490463215258855,-0.13690476190476192,-0.08817427385892117,-0.10705394190871369,-0.08420107719928187,-0.10829268292682927,432.37,437.89,439.72,431.57,0.01888453785017502,117541703,0.012766843212988833,51464518900,436.4746,-0.009309718435892029
3,2022-03-02,3,-0.08914996544574982,-0.09078309078309078,-0.12283464566929134,-0.08174144824522435,-0.11020663744520977,-0.12238023952095808,-0.0949169602415702,435.04,429.98,437.17,427.11,0.023553651284212503,137521230,-0.011631114380286875,59419576700,430.9464,0.010916323604015739
4,2022-03-01,2,-0.11168258633357825,-0.10090634441087613,-0.10278745644599303,-0.09990749306197964,-0.0738950276243094,-0.0943327239488117,-0.1358535933742987,432.03,436.63,438.2,430.7,0.017413512885999537,145302843,0.01064740874476315,63089900500,434.084,-0.012091398096588999
5,2022-02-28,1,-0.12678682411435674,-0.11484970838941229,-0.07846153846153846,-0.12982900569981,-0.15756035578144853,-0.14898746383799422,-0.15347517730496454,429.61,437.75,437.84,427.86,0.02332538680876913,121686081,0.018947417425106458,52825992700,434.6805,0.012176911682992196
6,2022-02-25,5,-0.10736721873215306,-0.12269641125121242,-0.10600706713780919,-0.12901069518716576,-0.1086105675146771,-0.11207012811867835,-0.14611405197305102,411.02,428.3,428.76,410.64,0.04412624196376389,213444305,0.04204174979319748,89499945200,419.2885,0.01659722060575677
7,2022-02-24,4,-0.1539151225343694,-0.15615819209039547,-0.17067159581022798,-0.14780435558729024,-0.1447587354409318,-0.13567995037990385,-0.11380218889339279,432.66,421.95,433.26,421.35,0.028266286934852183,131884132,-0.02475384828733887,56332708600,425.5837,0.01861132736332855
8,2022-02-23,3,-0.12359550561797752,-0.12023898431665422,-0.10026385224274406,-0.128125,-0.1191553544494721,-0.10957117234632317,-0.14405223423791064,431.89,429.57,435.5,425.86,0.022636547222091734,124054581,-0.005371738174072086,53384444100,430.3219,-0.008829715923066526
9,2022-02-22,2,-0.12782316194137433,-0.13835043709616116,-0.1258023106546855,-0.14362850971922247,-0.13697442566103163,-0.16744520301832555,-0.12260536398467432,437.33,434.23,438.66,431.82,0.015839933305544052,132414754,-0.007088468662108627,57720378000,434.7246,-0.0015965549976882287
10,2022-02-18,5,-0.1418706842435656,-0.11960784313725491,-0.1622222222222222,-0.10754716981132076,-0.15398230088495576,-0.13532242540904715,-0.11402298850574713,443.22,437.06,446.5652,436.42,0.02324641400485768,101972046,-0.013898289788367007,44836493200,439.2581,-0.009420803514128025
11,2022-02-17,4,-0.15636042402826855,-0.14322087842138764,-0.146218487394958,-0.1413934426229508,-0.08783783783783784,-0.10080645161290322,-0.10962763351298384,443.93,446.6,448.055,441.94,0.013836719916730798,84454360,0.006014461739463465,37550257200,444.6453,-0.004445246743700343
12,2022-02-16,3,-0.1314475873544093,-0.09672131147540984,-0.07159353348729793,-0.11054637865311309,-0.10541044776119403,-0.10835117773019272,-0.10979479585360694,443.73,446.1,446.28,443.18,0.006994900491899377,88435136,0.0053410857954161416,39299045600,444.8789,-0.0007883415528237751
13,2022-02-15,2,-0.1115071283095723,-0.11232187761944677,-0.11363636363636363,-0.11166875784190715,-0.13142375737152484,-0.1035225048923679,-0.09889158295808798,439.92,439.02,441.6,435.34,0.01437956539716095,121882151,-0.0020458265139116976,53454482200,438.5834,0.0041916437536002145
14,2022-02-14,1,-0.10150375939849623,-0.1111111111111111,-0.10602409638554217,-0.11274131274131274,-0.08503401360544217,-0.08966861598440545,-0.12016369047619048,449.41,440.46,451.605,438.94,0.02885360185902406,153033319,-0.019914999666229154,67912402900,443.6954,0.0007038596801144174
15,2022-02-11,5,-0.1043360433604336,-0.13375430539609645,-0.14759036144578314,-0.12523191094619665,-0.11747516072472239,-0.10420692730786384,-0.10158266921091032,451.34,449.32,457.71,447.2,0.023501788908765635,139791176,-0.004475561660832149,63377768400,452.2372,-0.003248920734887621
16,2022-02-10,4,-0.11921793037672866,-0.10736677115987461,-0.11075949367088607,-0.10625,-0.10741049125728559,-0.08973471741637831,-0.08438451500652458,455.22,457.54,457.88,455.005,0.006318611883385897,92330867,0.005096436887658699,42074122200,456.3521,0.01083488433948463
17,2022-02-09,3,-0.055055055055055056,-0.09406952965235174,-0.06691449814126393,-0.10437235543018336,-0.07427937915742794,-0.09161065471745083,-0.11048252911813644,446.73,450.94,451.92,445.22,0.015048739948789336,80885636,0.009424036890291629,36300954100,449.0694,0.0013398936869210185
18,2022-02-08,2,-0.0874074074074074,-0.1005524861878453,-0.10869565217391304,-0.09697933227344992,-0.12987012987012986,-0.11306532663316583,-0.09542230818826564,449.51,447.26,450.99,445.85,0.011528540989121872,84235654,-0.0050054503793019066,37763883100,448.383,0.007634442304169129
19,2022-02-07,1,-0.08173076923076923,-0.09666080843585237,-0.09287925696594428,-0.09815950920245399,-0.08757396449704143,-0.12323232323232323,-0.09164149043303121,446.35,448.7,452.78,443.83,0.020165378635964196,118358841,0.0052649266270862905,53028304400,448.3423,-0.002980891152605084
20,2022-02-04,5,-0.13256180957390848,-0.1224307417336908,-0.12341772151898735,-0.12204234122042341,-0.08744394618834081,-0.12293956043956043,-0.11924638989169675,450.95,446.6,452.97,445.71,0.016288618159790106,117684675,-0.009646302250803783,52896189400,449.2663,0.0010977932113644365
21,2022-02-03,4,-0.1354895104895105,-0.14460596786534047,-0.153125,-0.14184397163120568,-0.15570776255707763,-0.08808903623016813,-0.09297163995067817,455.5,457.35,458.12,453.05,0.01119081779053083,116960013,0.004061470911086768,53372635400,455.7295,-0.0017516629710174344
22,2022-02-02,3,-0.11555959963603275,-0.0939060939060939,-0.11643835616438356,-0.0846262341325811,-0.07094846900672143,-0.09377007064868337,-0.08103727714748785,450.68,452.95,453.63,446.9384,0.01497208563864728,122913902,0.005036833229786061,55355583800,450.6124,-0.001580749978237706
23,2022-02-01,2,-0.08032596041909197,-0.11198428290766209,-0.11419753086419752,-0.11095100864553314,-0.06925675675675676,-0.07713562053879806,-0.08068057080131723,441.24,449.91,450.28,439.81,0.023805734294354314,151541041,0.019649170519445234,67525380800,446.4425,0.0
24,2022-01-31,1,-0.0922266139657444,-0.07906976744186046,-0.0970873786407767,-0.07339449541284404,-0.08718487394957983,-0.060653188180404355,-0.1130820399113082,432.68,441.95,442.0,427.82,0.03314478051516995,164324755,0.021424609411112096,71488104800,435.1369,0.012328053119389238
25,2022-01-28,5,-0.12461380020597322,-0.1274928774928775,-0.11057692307692307,-0.1346153846153846,-0.07411764705882352,-0.12241958713394142,-0.10220364741641337,438.26,431.24,441.59,429.45,0.028268715799278116,149249329,-0.016017888924382745,65002626300,434.4125,0.009776052138975453
26,2022-01-27,4,-0.0705950991831972,-0.13853503184713375,-0.11458333333333333,-0.1462900505902192,-0.10710382513661203,-0.09156886967263743,-0.10406431442608308,440.72,433.38,444.04,428.86,0.035396166581168696,185897969,-0.016654565256852494,81160136000,436.8851,0.0016431603452631007
27,2022-01-26,3,-0.09611712285168682,-0.09251101321585903,-0.0823045267489712,-0.09700815956482321,-0.12821650399290152,-0.09998270195467912,-0.10542253521126761,433.06,434.47,439.72,427.15,0.029427601545124783,166965042,0.00325589987530602,72413077200,432.8697,-4.560718829992769e-05
